variable	model	model_variable	level_name	units	level	multi_level	description
T2M	HRRR	2t	heightAboveGround	K	2	f	Temperature at 2m
SPFH	HRRR	q	isobaricInhPa	kg/kg	-	t	Specific Humidity
REFC	HRRR	refc	atmosphere	dBZ	0	f	Reflectivity
U	HRRR	u	isobaricInhPa	m/s	-	t	U-component wind
V	HRRR	v	isobaricInhPa	m/s	-	t	V-component wind
T2M	resHRRR	T2M	-	K	-	f	Temperature at 2m
SPFH	resHRRR	SPFH	-	kg/kg	-	t	Specific Humidity
REFC	resHRRR	REFC	-	dBZ	-	f	Reflectivity
U	resHRRR	UGRD	level	m/s	-	t	U-component wind
V	resHRRR	VGRD	level	m/s	-	t	V-component wind
T2M	graphHRRR	T2M	-	K	-	f	Temperature at 2m
SPFH	graphHRRR	SPFH	-	kg/kg	-	t	Specific Humidity
REFC	graphHRRR	REFC	-	dBZ	-	f	Reflectivity
U	graphHRRR	UGRD	level	m/s	-	t	U-component wind
V	graphHRRR	VGRD	level	m/s	-	t	V-component wind
